strategy,rebal_days,top_n,target,stop,unit_mul,btc_bull,n,pnl,wr,avg
rs_rotation,7,2,30,-20,1.0,True,62,5523003,59.7,8.92
rs_rotation,5,1,30,-20,2.0,False,58,5485820,50.0,4.73
rs_rotation,3,1,25,-20,1.0,True,66,5470432,59.1,8.3
rs_rotation,10,2,25,-20,2.0,False,66,5453089,53.0,4.14
rs_rotation,10,1,30,-20,3.0,False,40,5419342,47.5,4.52
rs_rotation,10,2,50,-25,1.0,True,47,5375820,48.9,11.45
rs_rotation,10,1,50,-25,1.0,False,35,5295882,48.6,15.15
rs_rotation,7,2,20,-15,1.0,False,102,5209700,55.9,5.11
rs_rotation,10,2,20,-15,3.0,False,75,5134428,48.0,2.28
rs_rotation,5,2,25,-20,1.0,False,89,5071031,56.2,5.7
rs_rotation,7,1,25,-20,1.0,True,40,5001052,70.0,12.52
rs_rotation,3,1,20,-15,1.0,True,74,4980561,59.5,6.74
rs_rotation,10,2,40,-20,1.0,True,51,4928586,49.0,9.67
rs_rotation,5,1,25,-20,1.0,True,54,4865219,64.8,9.02
rs_rotation,10,1,40,-20,2.0,False,38,4851660,42.1,6.39
rs_rotation,7,1,40,-20,1.0,False,42,4795060,50.0,11.43
rs_rotation,3,1,20,-15,1.0,False,93,4775043,54.8,5.14
rs_rotation,5,1,50,-25,1.0,False,47,4674764,44.7,9.96
rs_rotation,5,1,20,-15,1.0,True,57,4532590,64.9,7.96
rs_rotation,5,1,25,-20,1.0,False,60,4362234,58.3,7.28
rs_rotation,10,1,25,-20,2.0,False,43,4358503,55.8,5.07
rs_rotation,7,1,20,-15,1.0,False,60,4351755,60.0,7.26
rs_rotation,7,1,40,-20,1.0,True,34,4330330,58.8,12.75
rs_rotation,10,1,20,-15,2.0,True,34,4316658,55.9,6.35
rs_rotation,5,1,30,-20,1.0,True,52,4311613,59.6,8.3
rs_rotation,10,1,50,-25,1.0,True,30,4259904,46.7,14.21
rs_rotation,5,2,20,-15,1.0,False,106,4233276,52.8,4.0
rs_rotation,10,2,30,-20,1.0,True,53,4147874,50.9,7.83
rs_rotation,7,1,30,-20,1.0,True,38,4141902,63.2,10.91
rs_rotation,7,1,30,-20,1.0,False,46,4105335,54.3,8.93
rs_rotation,5,1,40,-20,1.0,False,53,3999878,45.3,7.55
rs_rotation,10,2,25,-20,1.0,True,54,3950083,55.6,7.32
rs_rotation,10,2,20,-15,1.0,True,57,3881014,56.1,6.82
rs_rotation,10,1,40,-20,1.0,True,31,3818081,48.4,12.33
rs_rotation,5,2,40,-20,1.0,False,72,3652512,41.7,5.08
rs_rotation,5,1,20,-15,1.0,False,68,3622970,55.9,5.33
rs_rotation,10,1,30,-20,2.0,False,40,3612894,47.5,4.52
rs_rotation,7,1,20,-15,1.0,True,44,3537490,65.9,8.05
rs_rotation,10,2,20,-15,2.0,False,75,3422952,48.0,2.28
rs_rotation,10,2,40,-20,1.0,False,57,3174772,42.1,5.58
rs_rotation,10,1,30,-20,1.0,True,33,3173611,51.5,9.63
