ticker,strategy,target,stop,hold,unit_mul,max_pyr,trail,btc_exit,n,pnl,wr,avg,avg_layers
IREN,bo10_macd_btc2,60,-25,60,3.0,3,,False,12,15071877,50.0,17.97,1.67
IREN,bb_macd_adx_btc2,50,-20,45,2.0,3,-10.0,False,23,15070019,43.5,13.85,2.0
IREN,consec3_surge,80,-25,90,3.0,1,,False,11,14992916,63.6,45.48,1.0
CONL,bb_macd_adx_btc2,60,-25,60,2.0,5,,False,16,14974249,43.8,15.95,2.62
CONL,bo10_macd_btc2,80,-25,90,2.0,5,,False,10,14951632,40.0,18.99,2.5
PTIR,mstr_over5_ret3_btc,60,-25,60,4.0,1,,False,8,14908038,75.0,46.63,1.0
CONL,bo5_vol_btc2_rsi,100,-30,180,2.0,5,,True,8,14899818,50.0,43.59,1.88
IREN,mstr_over5_ret3_btc,60,-25,60,4.0,1,,False,15,14895133,53.3,24.85,1.0
PTIR,di_cross_surge_btc2,50,-25,45,5.0,1,,False,10,14834976,70.0,29.7,1.0
IREN,consec3_surge,50,-20,45,3.0,1,,False,17,14804630,76.5,29.06,1.0
IREN,rsi7_80_btc2,40,-20,30,5.0,1,,False,14,14801926,71.4,21.17,1.0
IREN,macd_adx_vol_btc2,60,-25,60,3.0,3,,False,6,14780870,83.3,49.98,1.67
PTIR,di_cross_surge_btc2,60,-25,60,3.0,3,,False,7,14654619,85.7,29.74,2.43
CONL,bb_macd_adx_btc2,80,-25,90,2.0,5,,False,14,14600001,28.6,8.34,2.93
IREN,rsi_accel_btc2_vol,80,-25,90,3.0,1,,False,9,14594059,77.8,54.11,1.0
CONL,rsi_accel_btc2_vol,80,-25,90,2.0,5,,False,9,14587679,44.4,28.88,1.89
PTIR,mstr5_bo10_btc2,80,-25,90,3.0,3,,False,5,14559630,80.0,47.58,2.0
NVDL,bb_macd_adx_btc2,100,-30,180,2.0,5,,True,16,14528552,43.8,10.45,2.19
PTIR,bb_macd_adx_btc2,80,-25,90,2.0,5,,False,6,14522096,66.7,35.29,2.83
