ticker,strategy,pos_mode,target,stop,hold,n,pnl,wr,avg
PTIR,btc_regime2_only,fixed,30,-20,45,13,2311166,69.2,17.8
CONL,btc_regime2_rsi,fixed,25,-15,20,32,2308967,53.1,7.22
CONL,btc_regime1plus,fixed,25,-20,30,36,2303679,50.0,6.41
PTIR,mon_tue_bull,fixed,20,-20,30,17,2282968,70.6,13.44
IREN,btc_momentum_entry,fixed,15,-20,30,32,2273258,71.9,7.11
IREN,not_friday_bull,fixed,15,-15,20,44,2272219,61.4,5.17
IREN,btc_rsi_high_regime,fixed,15,-20,30,32,2264162,71.9,7.08
IREN,not_friday_bull,fixed,15,-20,30,39,2261310,66.7,5.8
IREN,dual_btc_qqq_strong,fixed,25,-20,30,9,2250430,88.9,25.03
CONL,btc_momentum_entry,fixed,30,-20,45,25,2249036,52.0,9.01
IREN,dual_btc_qqq,fixed,15,-20,30,12,2243889,100.0,18.72
IREN,dual_btc_qqq_pct,fixed,15,-20,30,12,2243889,100.0,18.72
IREN,btc_ret20_strong,fixed,30,-20,45,11,2236804,72.7,20.35
CONL,month_q4_bull,fixed,20,-15,20,26,2236448,57.7,8.61
PTIR,mon_tue_bull,fixed,30,-20,45,13,2233742,69.2,17.2
PTIR,btc_regime2_rsi,fixed,25,-20,30,14,2233486,71.4,15.97
ROBN,variable_size_regime_var,variable,30,-20,45,10,2221193,60.0,13.41
IREN,dual_btc_qqq_strong,fixed,20,-20,30,9,2220377,100.0,24.7
PTIR,btc_momentum_entry,fixed,15,-20,30,18,2216848,77.8,12.33
IREN,triple_ma_strong_btc,fixed,20,-20,30,18,2216684,72.2,12.33
PTIR,btc_regime2_only,fixed,15,-15,20,22,2215875,72.7,10.08
CONL,btc_ret20_strong,fixed,25,-20,30,17,2209673,64.7,13.01
NVDL,low_vol_bull,fixed,15,-20,30,33,2204134,75.8,6.69
PTIR,mon_tue_bull,fixed,15,-15,20,23,2202927,78.3,9.59
CONL,btc_regime1plus,fixed,25,-15,20,39,2199439,48.7,5.65
PTIR,btc_regime2_rsi,fixed,30,-20,45,13,2196734,69.2,16.91
PTIR,btc_regime2_only,fixed,20,-15,20,18,2195551,72.2,12.21
CONL,btc_ret5_pos_regime1,fixed,30,-20,45,28,2190433,50.0,7.83
NVDL,mon_tue_bull,fixed,30,-20,45,17,2170544,64.7,12.78
PTIR,btc_rsi_high_regime,fixed,30,-20,45,12,2166888,66.7,18.08
PTIR,not_friday_bull,fixed,25,-20,30,18,2166163,61.1,12.05
PTIR,btc_ret5_pos_regime1,fixed,15,-20,30,17,2153666,82.4,12.68
CONL,not_friday_bull,fixed,20,-20,30,39,2152893,59.0,5.53
PTIR,btc_regime1plus,fixed,15,-15,20,29,2151895,72.4,7.43
CONL,btc_regime2_only,fixed,25,-15,20,34,2150174,52.9,6.33
NVDL,triple_ma_strong_btc,fixed,15,-20,30,21,2146760,85.7,10.23
IREN,triple_ma_strong_btc,fixed,30,-20,45,14,2141995,64.3,15.32
IREN,btc_regime1plus,fixed,20,-15,20,39,2135841,56.4,5.48
NVDL,btc_ret5_pos_regime1,fixed,25,-20,30,24,2134656,70.8,8.9
IREN,variable_size_regime,fixed,15,-15,20,42,2129992,61.9,5.08
ROBN,variable_size_regime_var,variable,20,-20,30,11,2129233,72.7,12.07
CONL,btc_rsi_high_regime,fixed,20,-20,30,32,2126167,59.4,6.65
IREN,btc_rsi_high_regime,fixed,25,-15,20,24,2123155,54.2,8.86
IREN,not_friday_bull,fixed,25,-15,20,37,2114551,54.1,5.72
NVDL,btc_ret5_pos_regime1,fixed,25,-15,20,27,2109911,55.6,7.82
PTIR,mon_tue_bull,fixed,20,-15,20,18,2083124,77.8,11.58
CONL,btc_regime1plus,fixed,30,-20,45,29,2080011,48.3,7.18
CONL,not_friday_bull,fixed,25,-15,20,39,2059065,46.2,5.28
NVDL,triple_ma_bull,fixed,15,-20,30,25,2051543,80.0,8.21
IREN,btc_regime2_only,fixed,15,-20,30,33,2045169,69.7,6.2
IREN,low_vol_bull,fixed,20,-15,20,23,2044825,65.2,8.9
NVDL,variable_size_regime_var,variable,20,-15,20,32,2041481,53.1,2.99
PTIR,btc_rsi_high_regime,fixed,15,-15,20,20,2039779,80.0,10.21
NVDL,btc_ret5_pos_regime1,fixed,15,-15,20,31,2036043,64.5,6.57
CONL,triple_ma_bull,fixed,20,-20,30,21,2034494,61.9,9.7
NVDL,mon_tue_bull,fixed,15,-20,30,26,2025476,76.9,7.8
IREN,triple_ma_strong_btc,fixed,25,-20,30,15,2021913,66.7,13.49
NVDL,triple_ma_bull,fixed,20,-20,30,18,2019244,77.8,11.23
IREN,btc_ret5_pos_regime1,fixed,15,-20,30,31,2006285,64.5,6.48
AMDL,dual_btc_qqq_pct,fixed,15,-20,30,10,2002672,90.0,20.05
AMDL,dual_btc_qqq,fixed,15,-20,30,10,2002672,90.0,20.05
PTIR,btc_momentum_entry,fixed,20,-20,30,15,1997516,73.3,13.33
NVDL,btc_rsi_high_regime,fixed,15,-20,30,27,1992966,81.5,7.39
CONL,btc_ret5_pos_regime1,fixed,25,-20,30,29,1989267,48.3,6.87
PTIR,low_vol_breakout,fixed,15,-20,30,15,1984156,66.7,13.24
CONL,mon_tue_bull,fixed,15,-20,30,34,1981747,67.6,5.83
PTIR,btc_regime2_rsi,fixed,15,-15,20,21,1968685,71.4,9.38
CONL,variable_size_regime,fixed,25,-15,20,35,1966819,51.4,5.63
