ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
ROBN,j_di_pullback,60,-25,60,2.0,5,False,3,5293249,100.0,56.82,2.0
ROBN,j_vcp_pullback,40,-20,20,4.0,1,False,4,5292047,75.0,33.11,1.0
ROBN,j_pullback_macd,60,-25,60,3.0,3,False,3,5262919,100.0,58.54,1.0
CONL,j_2cond_rsi_vix,30,-15,15,4.0,1,False,36,5249610,41.7,3.65,1.0
IREN,j_di_pullback,50,-25,45,5.0,1,False,6,5245807,50.0,17.5,1.0
IREN,j_btc_rsi_low_pull,50,-25,45,5.0,1,False,6,5245807,50.0,17.5,1.0
IREN,j_pullback_macd,50,-25,45,5.0,1,False,6,5245807,50.0,17.5,1.0
IREN,j_2cond_pull_btcrsi,50,-25,45,5.0,1,False,6,5245807,50.0,17.5,1.0
MSTX,j_btc_rsi_vix,60,-25,60,2.0,5,False,3,5239365,66.7,41.31,2.33
PTIR,j_di_vix_rsi,50,-25,45,5.0,1,False,4,5218372,75.0,26.12,1.0
MSTX,j_vcp_pullback,50,-25,45,3.0,3,False,4,5213175,50.0,23.58,1.5
NVDL,j_2cond_rsi_vix,60,-25,60,3.0,3,True,26,5199427,42.3,-0.13,1.62
PTIR,j_btc_rsi_low_trend,60,-25,60,3.0,3,True,13,5196796,38.5,5.5,1.92
MSTX,j_di_vix_rsi,30,-20,30,3.0,1,False,5,5163967,80.0,34.46,1.0
MSTX,j_vix_optimal,60,-25,60,2.0,5,False,4,5140017,50.0,29.74,2.0
CONL,j_btc_rsi_low_trend,60,-25,60,3.0,3,True,14,5122428,35.7,3.16,1.64
MSTX,j_vcp_pullback,80,-25,90,2.0,5,False,4,5079350,50.0,34.73,1.5
PTIR,j_btc_rsi_vix,40,-20,30,5.0,1,False,7,5060083,71.4,14.47,1.0
MSTX,j_triple_neutral,50,-25,45,5.0,1,False,3,5051430,66.7,33.71,1.0
MSTX,j_vix_optimal,50,-25,45,3.0,3,False,4,5026684,50.0,24.64,1.75
AMDL,j_triple_neutral,40,-20,30,5.0,1,False,4,5022437,75.0,25.14,1.0
MSTX,j_di_vix_rsi,60,-25,60,3.0,3,True,5,5019506,80.0,27.91,1.4
ROBN,j_pullback_macd,50,-25,45,3.0,3,False,3,4997813,100.0,55.59,1.0
ROBN,j_mstr_below_btc_low,80,-25,90,2.0,5,False,7,4996817,28.6,-5.32,2.14
IREN,j_btc_rsi_low_pull,80,-25,90,3.0,3,True,7,4993069,42.9,15.78,1.14
IREN,j_pullback_macd,80,-25,90,3.0,3,True,7,4993069,42.9,15.78,1.14
IREN,j_di_pullback,80,-25,90,3.0,3,True,7,4993069,42.9,15.78,1.14
IREN,j_2cond_pull_btcrsi,80,-25,90,3.0,3,True,7,4993069,42.9,15.78,1.14
ROBN,j_btc_rsi_low_trend,60,-25,60,2.0,5,False,4,4989520,50.0,10.42,3.0
IREN,j_mstr_below_btc_low,40,-20,30,3.0,1,False,19,4957623,52.6,8.71,1.0
IREN,j_di_vix_rsi,80,-25,90,3.0,3,True,7,4952406,28.6,8.17,1.57
IREN,j_2cond_rsi_vix,50,-25,45,3.0,3,False,14,4903194,42.9,4.63,1.43
PTIR,j_btc_rsi_vix,40,-20,20,4.0,1,False,8,4892363,75.0,15.3,1.0
IREN,j_mstr_below_btc_low,30,-20,45,2.0,2,False,18,4890711,50.0,7.67,1.67
PTIR,j_di_vix_rsi,40,-20,20,4.0,1,False,8,4887908,50.0,15.29,1.0
ROBN,j_btc_rsi_low_trend,50,-25,45,3.0,3,False,5,4857248,60.0,14.35,2.0
ROBN,j_2cond_rsi_vix,50,-25,45,3.0,3,False,15,4828119,46.7,0.72,1.4
PTIR,j_vix_optimal,60,-25,60,2.0,5,False,5,4805980,60.0,18.65,1.8
ROBN,j_2cond_pull_btcrsi,40,-20,20,4.0,1,False,5,4785176,80.0,23.95,1.0
ROBN,j_di_pullback,40,-20,20,4.0,1,False,5,4785176,80.0,23.95,1.0
ROBN,j_vcp_pullback,50,-25,45,3.0,3,False,3,4783097,66.7,29.24,1.67
NVDL,j_2cond_rsi_vix,40,-20,30,5.0,1,False,17,4770992,47.1,5.62,1.0
MSTX,j_vcp_pullback,60,-25,60,2.0,5,False,4,4731444,50.0,31.46,1.5
MSTX,j_vcp_pullback,40,-20,30,5.0,1,False,4,4731166,50.0,23.68,1.0
ROBN,j_vix_optimal,40,-20,30,3.0,1,False,3,4730426,100.0,52.61,1.0
ROBN,j_triple_neutral,40,-20,30,3.0,1,False,3,4730426,100.0,52.61,1.0
NVDL,j_2cond_rsi_vix,50,-25,45,3.0,3,False,13,4730347,61.5,8.04,1.77
PTIR,j_di_vix_rsi,50,-25,45,3.0,3,False,5,4728241,60.0,16.66,2.2
NVDL,j_btc_rsi_low_trend,50,-25,45,3.0,3,False,8,4703259,50.0,2.64,1.75
IREN,j_2cond_pull_vix,80,-25,90,3.0,3,False,3,4675387,66.7,52.0,1.0
MSTX,j_btc_rsi_low_trend,40,-20,30,3.0,1,False,4,4674329,75.0,38.99,1.0
PTIR,j_mstr_below_btc_low,40,-20,20,4.0,1,False,17,4662089,58.8,6.86,1.0
MSTX,j_vcp_pullback,50,-25,45,5.0,1,False,4,4655903,50.0,23.3,1.0
CONL,j_vix_neutral_pullback,50,-25,45,5.0,1,False,3,4655693,66.7,31.07,1.0
ROBN,j_di_vix_rsi,50,-25,45,3.0,3,False,3,4647373,66.7,28.13,1.67
MSTX,j_btc_rsi_vix,40,-20,30,3.0,1,False,4,4634100,75.0,38.66,1.0
IREN,j_2cond_rsi_vix,40,-20,30,5.0,1,False,17,4628810,52.9,5.45,1.0
CONL,j_2cond_rsi_vix,40,-20,20,4.0,1,False,32,4585565,37.5,3.59,1.0
IREN,j_mstr_below_btc_low,40,-20,30,2.0,3,False,18,4558316,50.0,3.71,2.06
ROBN,j_mstr_below_btc_low,50,-25,45,3.0,3,False,9,4555836,44.4,-0.22,1.78
NVDL,j_mstr_below_btc_low,60,-25,60,3.0,3,False,12,4523029,33.3,2.32,2.08
ROBN,j_pullback_deep_bounce,40,-20,20,4.0,1,False,3,4519483,100.0,37.7,1.0
MSTX,j_triple_neutral,40,-20,30,5.0,1,False,3,4514955,66.7,30.13,1.0
ROBN,j_2cond_rsi_vix,40,-20,30,3.0,1,False,19,4512321,47.4,7.92,1.0
IREN,j_2cond_pull_vix,50,-25,45,5.0,1,False,3,4506194,66.7,30.07,1.0
MSTX,j_di_vix_rsi,30,-20,45,2.0,2,False,5,4485253,80.0,38.24,1.2
ROBN,j_di_vix_rsi,40,-20,30,3.0,1,False,4,4473777,75.0,37.32,1.0
MSTX,j_btc_rsi_low_trend,50,-25,45,5.0,1,False,3,4451495,66.7,29.71,1.0
ROBN,j_btc_rsi_low_pull,60,-25,60,3.0,3,True,4,4449544,50.0,21.89,1.25
ROBN,j_btc_rsi_low_pull,80,-25,90,3.0,3,True,4,4449544,50.0,21.89,1.25
PTIR,j_di_vix_rsi,25,-15,20,3.0,1,False,8,4434859,75.0,18.5,1.0
ROBN,j_di_pullback,40,-20,30,3.0,1,False,4,4433377,100.0,36.98,1.0
ROBN,j_2cond_pull_btcrsi,40,-20,30,3.0,1,False,4,4433377,100.0,36.98,1.0
ROBN,j_pullback_macd,60,-25,60,3.0,3,True,3,4418758,100.0,49.15,1.0
NVDL,j_di_vix_rsi,80,-25,90,3.0,3,True,6,4410081,33.3,5.48,1.67
PTIR,j_vix_optimal,50,-25,45,5.0,1,False,5,4400379,60.0,17.62,1.0
MSTX,j_btc_rsi_vix,50,-25,45,5.0,1,False,3,4384446,66.7,29.26,1.0
