ticker,signal,thresh,direction,target,stop,hold,n,pnl,wr,avg
IREN,btc_rsi,50,above,25,-20,30,35,2699831,57.1,7.72
PTIR,mstr_rsi,60,above,15,-20,30,16,2696787,87.5,16.87
IREN,mstr_rsi,55,above,25,-15,20,32,2689565,56.2,8.41
IREN,btc_ret3,3,above,25,-20,30,32,2689402,59.4,8.41
IREN,btc_pct_ma20,-5,above,25,-15,20,59,2687847,49.2,4.56
PTIR,mstr_rsi,60,above,20,-20,30,13,2677248,84.6,20.61
PTIR,btc_rsi,40,above,25,-20,30,28,2672481,60.7,9.55
PTIR,btc_rsi,60,above,25,-15,20,18,2668591,72.2,14.84
CONL,btc_mstr_combo,60,above,25,-15,20,42,2654921,50.0,6.33
PTIR,btc_rsi,60,above,20,-20,30,18,2649114,72.2,14.73
IREN,mstr_pct_ma20,0,above,20,-20,30,37,2647687,62.2,7.16
CONL,mstr_rsi,35,below,15,-15,20,40,2647068,57.5,6.62
CONL,mstr_pct_ma20,0,above,20,-20,30,44,2645620,56.8,6.02
PTIR,btc_rsi,40,above,15,-15,20,41,2644782,65.9,6.46
PTIR,mstr_rsi,60,above,15,-15,20,21,2637770,81.0,12.57
PTIR,btc_mstr_combo,55,above,25,-20,30,16,2637115,75.0,16.5
PTIR,btc_mstr_combo,60,above,12,-10,20,25,2633998,76.0,10.55
PTIR,btc_momentum3,0,above,30,-20,45,21,2628997,61.9,12.53
CONL,mstr_pct_ma20,5,above,12,-10,20,60,2616182,60.0,4.36
PTIR,btc_rsi,50,above,15,-20,30,27,2608270,74.1,9.67
PTIR,btc_pct_ma20,-5,above,15,-15,20,45,2607792,62.2,5.8
IREN,mstr_rsi,55,above,15,-15,20,43,2605360,62.8,6.07
PTIR,btc_mstr_combo,55,above,20,-20,30,17,2601984,76.5,15.32
CONL,btc_mstr_combo,60,above,25,-20,30,31,2599384,54.8,8.39
PTIR,btc_rsi,40,above,20,-15,20,35,2594149,57.1,7.42
CONL,btc_ret3,3,above,30,-20,45,36,2585853,50.0,7.19
PTIR,btc_rsi,60,above,20,-15,20,19,2581074,73.7,13.6
CONL,btc_rsi,50,above,30,-20,45,41,2575864,43.9,6.29
NVDL,btc_pct_ma20,-5,above,30,-20,45,36,2572550,52.8,7.15
IREN,mstr_pct_ma20,0,above,25,-15,20,37,2564256,54.1,6.94
PTIR,btc_rsi,50,above,30,-20,45,20,2557922,60.0,12.8
IREN,btc_rsi,60,above,20,-15,20,37,2552116,64.9,6.9
PTIR,btc_momentum3,0,above,12,-10,20,50,2545628,64.0,5.1
PTIR,btc_pct_ma20,-5,above,15,-20,30,35,2545536,65.7,7.28
IREN,btc_mstr_combo,60,above,25,-15,20,30,2539490,56.7,8.47
IREN,btc_rsi,60,above,15,-20,30,37,2523055,70.3,6.83
PTIR,btc_pct_ma20,-5,above,20,-15,20,39,2520583,53.8,6.47
CONL,btc_pct_ma20,5,above,25,-15,20,32,2519736,50.0,7.88
NVDL,btc_ret3,3,above,30,-20,45,24,2502630,62.5,10.44
CONL,btc_pct_ma20,5,above,30,-20,45,27,2500697,51.9,9.27
PTIR,mstr_pct_ma20,0,above,25,-20,30,18,2494345,72.2,13.87
NVDL,btc_ret3,3,above,15,-20,30,37,2494278,70.3,6.75
CONL,btc_mstr_combo,60,above,20,-20,30,35,2487320,57.1,7.11
PTIR,btc_pct_ma20,-5,above,25,-20,30,28,2485221,57.1,8.88
PTIR,btc_pct_ma20,0,above,15,-15,20,35,2477172,68.6,7.08
PTIR,btc_pct_ma20,5,above,15,-20,30,17,2472369,82.4,14.56
CONL,btc_rsi,40,above,15,-20,30,79,2472333,49.4,3.13
PTIR,btc_pct_ma20,0,above,20,-15,20,29,2467663,65.5,8.52
CONL,btc_rsi,60,above,25,-15,20,43,2462744,48.8,5.73
PTIR,mstr_pct_ma20,0,above,12,-10,20,33,2445178,72.7,7.42
CONL,mstr_rsi,35,below,15,-20,30,40,2443683,60.0,6.12
IREN,btc_mstr_combo,55,above,15,-15,20,45,2439111,62.2,5.43
PTIR,mstr_rsi,60,above,20,-15,20,15,2436222,80.0,16.26
CONL,btc_mstr_combo,55,above,20,-20,30,42,2435925,54.8,5.81
NVDL,btc_mstr_combo,60,above,30,-20,45,17,2426329,70.6,14.29
PTIR,btc_rsi,40,above,20,-20,30,30,2424384,60.0,8.09
NVDL,btc_pct_ma20,-5,above,20,-20,30,46,2423119,60.9,5.27
CONL,btc_pct_ma20,-5,above,15,-15,20,93,2415464,51.6,2.6
IREN,btc_mstr_combo,60,above,25,-20,30,28,2413892,60.7,8.63
NVDL,btc_momentum3,0,above,15,-20,30,46,2408494,65.2,5.24
CONL,mstr_rsi,55,above,12,-10,20,68,2404338,55.9,3.54
CONL,btc_rsi,60,above,25,-20,30,35,2401277,51.4,6.87
PTIR,mstr_rsi,60,above,12,-10,20,22,2392220,77.3,10.88
CONL,btc_ret3,5,above,15,-15,20,37,2389785,62.2,6.47
IREN,mstr_rsi,55,above,20,-15,20,37,2388678,54.1,6.46
IREN,mstr_pct_ma20,0,above,15,-20,30,40,2386238,65.0,5.97
PTIR,btc_pct_ma20,5,above,20,-20,30,14,2380158,78.6,17.02
IREN,btc_pct_ma20,0,above,20,-15,20,52,2374550,53.8,4.57
PTIR,btc_momentum3,0,above,20,-15,20,34,2368662,64.7,6.97
NVDL,btc_rsi,40,above,30,-20,45,32,2363672,53.1,7.39
PTIR,btc_mstr_combo,60,above,25,-20,30,14,2363560,78.6,16.9
NVDL,btc_momentum3,0,above,20,-20,30,41,2361165,61.0,5.76
NVDL,btc_pct_ma20,-5,above,15,-20,30,53,2353812,66.0,4.45
NVDL,btc_rsi,40,above,20,-20,30,47,2348813,61.7,5.0
IREN,mstr_pct_ma20,0,above,20,-15,20,42,2346438,54.8,5.59
CONL,btc_rsi,50,above,25,-15,20,58,2338163,41.4,4.04
PTIR,btc_rsi,60,above,12,-10,20,27,2325981,74.1,8.62
PTIR,btc_momentum3,0,above,25,-20,30,24,2321253,66.7,9.68
