ticker,strategy,target,stop,hold,unit_mul,max_pyr,n,pnl,wr,avg,avg_layers
IREN,hh_hl_rsi_btc,50,-25,45,2.0,1,18,8683942,66.7,24.15,1.0
CONL,qqq_strong_macd,80,-25,90,3.0,3,15,8669353,26.7,1.91,2.27
IREN,rsi7_80_btc2,50,-25,45,2.0,3,10,8647294,60.0,16.88,2.3
SOXL,hh_hl_rsi_btc,80,-25,90,3.0,3,10,8581296,50.0,8.06,2.5
IREN,mstr5_btc2_qqq,80,-25,90,2.0,3,11,8575868,36.4,10.92,2.27
IREN,rsi7_80_btc2,40,-20,30,2.0,3,13,8512279,69.2,16.21,2.08
IREN,btc2_qqq_strong_vol,50,-25,45,3.0,1,14,8505548,64.3,20.27,1.0
CONL,btc3_strong_rsi_accel,50,-25,45,3.0,3,10,8488561,50.0,12.66,1.4
CONL,qqq_strong_macd,40,-20,30,3.0,1,26,8473981,50.0,10.87,1.0
IREN,rsi7_80_btc2,50,-25,45,3.0,1,10,8423037,70.0,28.1,1.0
IREN,btc2_qqq_strong_vol,50,-25,45,2.0,3,13,8419185,61.5,15.9,1.77
TSLL,rsi7_80_btc2,80,-25,90,3.0,3,8,8415278,37.5,14.86,2.0
IREN,di_cross_surge_btc2,40,-20,30,2.0,1,19,8340685,68.4,21.97,1.0
IREN,triple_regime_all,50,-25,45,2.0,1,14,8268326,71.4,29.56,1.0
IREN,triple_regime_all,30,-20,30,2.0,1,21,8239603,71.4,19.64,1.0
IREN,btc2_qqq_strong_vol,40,-20,30,2.0,3,18,8238042,55.6,13.5,1.67
CONL,btc3_strong_rsi_accel,80,-25,90,3.0,3,9,8208777,33.3,11.67,1.44
CONL,vix_falling_btc2,80,-25,90,2.0,3,16,8184811,31.2,9.95,2.06
IREN,hh_hl_rsi_btc,30,-20,30,2.0,1,25,8146193,72.0,16.31,1.0
IREN,ma_aligned_btc2_vol,50,-25,45,2.0,3,8,8136067,75.0,27.08,1.88
CONL,consec3_surge,50,-25,45,3.0,3,16,8130722,43.8,12.02,1.81
SOXL,triple_regime_strong,50,-25,45,3.0,3,16,8100108,56.2,3.86,1.75
SOXL,rsi7_80_btc2,80,-25,90,3.0,3,9,8097454,44.4,6.99,2.33
IREN,hh_hl_rsi_btc,40,-20,30,2.0,1,24,8088719,62.5,16.87,1.0
CONL,btc2_qqq_strong_vol,50,-25,45,2.0,1,18,8072860,55.6,22.45,1.0
BITX,consec4_btc1,50,-25,45,3.0,3,9,8061066,55.6,11.42,1.89
CONL,hh_hl_rsi_btc,40,-20,30,3.0,1,26,8021708,50.0,10.29,1.0
IREN,mstr5_btc2_qqq,50,-25,45,3.0,1,16,8006174,62.5,16.7,1.0
TSLL,triple_regime_all,50,-25,45,3.0,3,14,7973608,50.0,7.22,1.64
