ticker,strategy,target,stop,hold,unit_mul,max_pyr,trailing,n,pnl,wr,avg,avg_layers
CONL,bo10_btc1plus,50,-25,45,2.0,1,False,15,4927338,46.7,16.44,1.0
IREN,ret3_strong_btc,40,-20,30,1.5,1,True,33,4918173,45.5,9.95,1.0
PTIR,rsi14_65_btc2,30,-20,30,1.5,2,False,10,4911977,70.0,19.38,1.6
CONL,consec2_vol_btc,30,-20,30,2.0,1,False,18,4909092,55.6,13.65,1.0
PTIR,bo10_btc1plus,40,-20,45,1.0,3,False,10,4908975,60.0,16.0,2.5
PTIR,ma_align5_btc2,50,-25,45,1.0,3,False,12,4904718,58.3,15.4,1.75
IREN,ma_align5_btc2,40,-20,30,1.5,1,False,20,4903084,65.0,16.36,1.0
CONL,ma_align60_btc2,30,-20,30,1.5,2,False,11,4900405,63.6,9.19,1.64
PTIR,rsi7_hot_btc2,30,-20,30,1.0,2,False,12,4897952,66.7,17.78,1.58
IREN,ma_align5_btc2,40,-20,30,1.5,1,True,25,4887323,60.0,13.05,1.0
NVDL,ret5_surge_btc,50,-25,45,1.0,3,False,8,4885583,75.0,14.93,2.38
IREN,bo10_btc1plus,30,-20,30,1.0,2,False,21,4877541,57.1,9.47,1.67
IREN,bo10_macd_btc,30,-20,30,1.0,2,False,21,4877541,57.1,9.47,1.67
PTIR,surge_follow_btc,40,-20,30,2.0,1,False,14,4870021,71.4,17.41,1.0
NVDL,consec3_btc2,50,-25,45,2.0,1,False,11,4862730,72.7,22.13,1.0
NVDL,rsi14_65_btc2,40,-20,45,1.0,3,False,13,4857660,46.2,7.04,2.15
IREN,bo5_btc2,40,-20,30,1.0,2,False,15,4849332,60.0,15.35,1.67
IREN,ret5_surge_btc,30,-20,30,2.0,1,False,16,4837656,68.8,15.13,1.0
PTIR,bo5_btc2,30,-20,30,1.0,2,False,10,4837652,80.0,24.76,1.6
IREN,rsi7_hot_btc2,40,-20,30,1.0,2,False,16,4834000,68.8,14.95,1.88
IREN,rsi_accel,40,-20,30,1.5,1,True,28,4831670,42.9,11.52,1.0
IREN,ret5_surge_btc,40,-20,30,1.5,1,False,16,4822021,62.5,20.11,1.0
IREN,bo10_macd_btc,30,-20,30,2.0,1,False,23,4816356,56.5,10.48,1.0
IREN,bo10_btc1plus,30,-20,30,2.0,1,False,23,4816356,56.5,10.48,1.0
CONL,consec3_btc2,30,-20,30,2.0,1,False,21,4805703,52.4,11.45,1.0
CONL,consec3_btc2,50,-25,45,1.0,3,False,15,4801164,46.7,13.8,2.0
IREN,bo10_btc1plus,40,-20,30,2.0,1,False,20,4793253,55.0,12.0,1.0
IREN,bo10_macd_btc,40,-20,30,2.0,1,False,20,4793253,55.0,12.0,1.0
PTIR,ret3_strong_btc,30,-20,30,1.5,2,False,16,4787892,62.5,9.11,1.69
IREN,rsi7_hot_btc2,50,-25,45,2.0,1,False,14,4778724,57.1,17.08,1.0
PTIR,rsi14_65_btc2,50,-25,45,1.0,3,False,7,4767355,71.4,26.48,2.29
IREN,rsi14_65_btc2,30,-20,30,1.0,2,False,16,4766567,56.2,13.27,1.69
PTIR,rsi7_hot_btc2,50,-25,45,2.0,1,False,10,4766522,70.0,23.86,1.0
IREN,ma_btc_ret7,30,-20,30,1.5,2,False,10,4758642,90.0,17.81,1.8
IREN,bo10_vol_btc,50,-25,45,1.0,3,False,10,4751883,40.0,10.47,2.0
IREN,ma_btc_ret7,50,-25,45,1.0,3,False,9,4745076,55.6,17.76,2.33
PTIR,ma_align5_btc2,50,-25,45,2.0,1,False,12,4740512,66.7,19.77,1.0
PTIR,consec3_btc2,30,-20,30,1.5,2,False,12,4736206,58.3,14.54,1.42
CONL,consec2_vol_btc,50,-25,45,2.0,1,False,16,4729566,50.0,14.79,1.0
NVDL,rsi7_hot_btc2,50,-25,45,2.0,1,False,16,4728642,62.5,14.79,1.0
IREN,ma_align5_btc2,40,-20,30,1.0,2,False,19,4721624,52.6,12.97,1.79
IREN,consec2_vol_btc,40,-20,30,1.5,1,True,24,4706968,54.2,13.09,1.0
IREN,btc_all_green,50,-25,45,1.0,3,False,9,4701807,77.8,32.71,1.78
IREN,consec3_btc2,40,-20,30,1.5,1,True,18,4701327,66.7,17.43,1.0
IREN,btc_all_green,30,-20,30,1.5,2,False,11,4692549,72.7,14.8,1.36
IREN,bo5_btc2,50,-25,45,1.0,3,False,13,4690885,46.2,7.59,2.15
IREN,bo10_btc1plus,40,-20,30,1.0,2,False,20,4685401,50.0,9.41,1.6
IREN,bo10_macd_btc,40,-20,30,1.0,2,False,20,4685401,50.0,9.41,1.6
NVDL,bo10_btc1plus,30,-20,30,1.5,2,False,14,4682742,71.4,10.75,1.79
NVDL,ret3_strong_btc,30,-20,30,2.0,1,False,16,4676318,81.2,14.63,1.0
IREN,rsi7_hot_btc2,40,-20,30,1.5,1,False,16,4659005,68.8,19.43,1.0
PTIR,ret5_surge_btc,50,-25,45,2.0,1,False,10,4654461,70.0,23.3,1.0
NVDL,ma_align5_btc2,30,-20,30,1.5,2,False,21,4652857,52.4,4.01,1.52
NVDL,bo10_btc1plus,30,-20,30,2.0,1,False,15,4640677,73.3,15.48,1.0
CONL,surge_strong_btc2,20,-12,15,2.0,1,False,35,4637904,51.4,6.63,1.0
IREN,rsi14_65_btc2,40,-20,30,1.5,1,True,21,4629271,61.9,14.71,1.0
IREN,consec3_btc2,30,-20,30,1.0,2,False,16,4624032,68.8,17.12,1.56
NVDL,consec3_btc2,50,-25,45,1.0,3,False,11,4620968,72.7,15.25,2.18
CONL,surge_follow_btc,40,-20,30,2.0,1,False,32,4605440,50.0,7.2,1.0
IREN,bo10_btc1plus,50,-25,45,2.0,1,False,17,4604068,52.9,13.55,1.0
IREN,bo10_macd_btc,50,-25,45,2.0,1,False,17,4604068,52.9,13.55,1.0
NVDL,rsi7_hot_btc2,40,-20,45,1.0,3,False,17,4589779,58.8,5.01,1.94
IREN,ret3_strong_btc,20,-12,15,2.0,1,False,37,4584657,59.5,6.2,1.0
IREN,ma_align60_btc2,50,-20,45,1.0,2,True,15,4568663,46.7,15.75,1.73
