ticker,strategy,target,stop,hold,unit_mul,n,pnl,wr,avg
CONL,soxl_bull_qqq,60,-25,60,3.0,16,9640584,50.0,20.1
PTIR,coin_rsi65_btc2,50,-25,45,3.0,6,9639911,100.0,53.61
IREN,coin_bull_btc2,50,-25,45,3.0,13,9639485,69.2,24.74
IREN,triple_surge,20,-15,20,3.0,19,9632537,78.9,16.92
PTIR,coin_rsi65_btc2,60,-25,60,3.0,6,9610647,83.3,53.45
CONL,vix_falling_btc2,60,-25,60,3.0,22,9595617,50.0,14.55
IREN,vix_low_btc2,25,-20,30,3.0,20,9561773,70.0,15.95
IREN,btc2_qqq_strong,50,-25,45,3.0,13,9552837,69.2,24.52
IREN,triple_surge,50,-25,45,3.0,12,9548973,66.7,26.55
IREN,vix_fall_qqq_bull,15,-15,20,3.0,44,9545743,65.9,7.24
CONL,coin_bull_btc2,40,-20,45,3.0,24,9545049,50.0,13.27
IREN,triple_regime_all,60,-25,60,2.0,13,9542990,69.2,36.74
CONL,coin_bull_btc2,80,-25,90,3.0,15,9520985,40.0,21.18
IREN,coin_bull_btc2,25,-20,30,3.0,21,9510707,71.4,15.11
IREN,coin_bull_btc2,30,-20,30,3.0,21,9508637,71.4,15.11
IREN,soxl_bull_qqq,40,-20,30,2.0,24,9506761,66.7,19.83
IREN,vix_low_btc2,50,-25,60,2.0,14,9497447,71.4,33.95
CONL,btc2_qqq_strong,15,-15,20,3.0,37,9487709,64.9,8.56
PTIR,qqq_strong_consec,80,-25,90,3.0,7,9480595,71.4,45.19
IREN,qqq_strong_macd,30,-20,30,3.0,28,9471119,57.1,11.29
IREN,triple_regime_strong,25,-20,30,3.0,26,9469164,61.5,12.15
IREN,triple_surge,20,-20,30,3.0,17,9466569,82.4,18.58
CONL,btc2_qqq_strong_vol,50,-25,45,3.0,19,9461827,52.6,16.62
IREN,coin_ret5_btc2,40,-20,30,3.0,23,9447868,60.9,13.71
IREN,btc1_qqq_bull_rsi,25,-15,20,3.0,27,9446245,70.4,11.67
PTIR,soxl_ret5_pos,20,-20,30,3.0,20,9439322,75.0,15.75
IREN,triple_regime_strong,50,-25,60,3.0,18,9433880,50.0,17.49
IREN,vix_falling_btc2,20,-15,20,3.0,34,9428782,61.8,9.25
IREN,btc2_qqq_strong,30,-20,45,3.0,19,9416490,68.4,16.54
IREN,vix_mid_btc1_rsi,30,-20,45,2.0,23,9407870,73.9,20.47
IREN,btc_qqq_coin_all,50,-25,60,3.0,12,9379310,58.3,26.08
IREN,btc_qqq_coin_all,25,-20,30,3.0,20,9365425,70.0,15.62
IREN,btc_qqq_coin_all,30,-20,30,3.0,20,9363446,70.0,15.62
IREN,vix_mid_btc1_rsi,25,-15,20,3.0,29,9351838,69.0,10.76
IREN,vix_spike_recover,50,-25,45,3.0,21,9350999,57.1,14.86
IREN,vix_mid_btc1_rsi,50,-25,45,3.0,20,9347484,55.0,15.59
IREN,triple_regime_all,25,-15,20,3.0,24,9333615,75.0,12.98
IREN,soxl_ret5_pos,50,-25,60,2.0,17,9327773,70.6,27.46
IREN,vix_spike_recover,60,-25,60,2.0,20,9299517,60.0,23.27
CONL,vix_falling_btc2,50,-25,60,3.0,23,9268371,52.2,13.45
IREN,triple_surge,60,-25,60,2.0,10,9259098,80.0,46.34
IREN,triple_surge,25,-15,20,3.0,16,9214899,75.0,19.22
CONL,btc2_qqq_strong,40,-20,45,3.0,23,9202857,52.2,13.35
