ticker,strategy,target,stop,hold,unit_mul,n,pnl,wr,avg
IREN,hh_hl_btc2,15,-20,30,3.0,29,7116719,72.4,8.19
PTIR,vcp_squeeze_bo,50,-25,45,3.0,8,7115460,75.0,29.68
PTIR,vcp_squeeze_bo,40,-20,45,3.0,8,7113372,87.5,29.67
IREN,gap_fill_up_btc2,30,-20,45,2.0,17,7084026,76.5,20.86
IREN,bounce_btc1_rsi,25,-15,20,3.0,24,7079385,58.3,9.84
CONL,vcp_squeeze_bo,25,-15,20,3.0,15,7059986,66.7,15.7
IREN,hh_hl_btc2,30,-15,20,3.0,24,7035094,58.3,9.78
NVDL,vcp_squeeze_bo,15,-20,30,3.0,23,7026120,78.3,10.19
PTIR,bounce_btc2,60,-25,60,3.0,6,7006596,66.7,38.96
PTIR,hh_hl_ma_btc2,30,-20,30,3.0,12,6996227,75.0,19.45
PTIR,ma10_pull_btc2,30,-20,30,3.0,8,6995227,87.5,29.18
IREN,bounce_btc2,40,-20,30,2.0,19,6989201,68.4,18.41
IREN,gap_fill_up_btc2,25,-20,30,3.0,16,6975745,75.0,14.55
PTIR,gap_up_btc2,20,-20,30,3.0,14,6968812,78.6,16.61
IREN,hh_hl_btc2,50,-20,45,2.0,17,6956183,64.7,20.48
IREN,gap_up3_btc1,40,-20,30,2.0,27,6946312,59.3,12.88
IREN,hh_hl_btc2,25,-20,30,3.0,23,6946127,60.9,10.08
CONL,bounce_btc2,50,-20,45,2.0,19,6945452,52.6,18.3
PTIR,gap_up_btc2,40,-20,30,3.0,11,6943759,72.7,21.06
IREN,gap_fill_up_btc2,40,-20,30,3.0,15,6930219,66.7,15.42
IREN,gap_up_btc2,30,-20,30,3.0,26,6918235,57.7,8.88
CONL,bounce_btc1_rsi,60,-25,60,3.0,17,6913496,41.2,13.57
IREN,hh_hl_ma_btc2,30,-20,45,2.0,19,6913293,68.4,18.21
CONL,bounce_btc2,30,-20,30,3.0,21,6899813,47.6,10.96
IREN,ma20_pull_btc2,40,-20,30,3.0,11,6897610,63.6,20.92
IREN,engulf_btc2,60,-25,60,3.0,10,6883260,60.0,22.97
IREN,ma20_pull_btc2,50,-20,45,3.0,11,6880261,63.6,20.87
CONL,gap_up3_vol_btc,50,-25,45,3.0,17,6868945,47.1,13.48
IREN,ma20_pull_btc2,30,-20,45,3.0,11,6868360,72.7,20.83
